"goals_n","probability","cutoff"
0,0.0955882352941176,1
1,0.224264705882353,0.904411764705882
2,0.231617647058824,0.680147058823529
3,0.227941176470588,0.448529411764706
4,0.125,0.220588235294118
5,0.0551470588235294,0.0955882352941176
6,0.0183823529411765,0.0404411764705882
7,0.0110294117647059,0.0220588235294118
8,0.0110294117647059,0.0110294117647059
