Country,Elo
Qatar,1663
Senegal,1737
England,1938
United States,1820
France,2027
Denmark,1961
Mexico,1823
Argentina,2139
Belgium,2034
Spain,2052
Germany,1988
Morocco,1739
Switzerland,1887
Uruguay,1941
Portugal,1999
Brazil,2166
Wales,1822
Netherlands,2003
Tunisia,1687
Poland,1804
Japan,1765
Croatia,1877
Cameroon,1635
South Korea,1805
Iran,1807
Ecuador,1847
Australia,1703
Saudi Arabia,1621
Canada,1769
Costa Rica,1727
Ghana,1539
Serbia,1841
